词	TF	IDF	Raw_Score	Final_Score
响应	2.620682	4.434442	4.956982	0.678411
时间	4.520757	2.499011	3.531716	0.528902
结果表明	5.678586	1.297363	1.825130	0.295141
上述	2.573168	4.146545	4.748101	0.659173
影响	4.648561	2.326177	3.337142	0.505145
关键	2.783606	4.086176	4.743449	0.658735
参数	4.306410	2.687222	3.720106	0.551140
并行	2.948680	4.109874	4.789209	0.663030
传输	4.639013	2.505292	3.551566	0.531281
信道	5.070243	2.216813	3.239864	0.492971
数	3.353430	3.586491	4.448282	0.629978
进一步	3.481488	3.251275	4.176345	0.601859
讨论	3.542212	3.343058	4.267155	0.611424
选择	4.480846	2.589139	3.630736	0.540685
问题	5.603832	1.521645	2.234340	0.356080
时变	2.013543	4.951795	5.154986	0.695827
给出	4.625930	2.275216	3.270780	0.496861
适应	4.443744	2.674338	3.721353	0.551285
调整	3.333855	3.519474	4.389484	0.624031
算法	6.316108	1.311698	1.897900	0.306173
仿真	5.687356	1.347885	1.922789	0.309927
试验	2.232973	4.578544	4.972758	0.679827
表明	3.873256	2.877779	3.869200	0.568204
业务	4.686935	2.644173	3.714143	0.550448
条件	4.128626	2.727055	3.742616	0.553747
有效	5.082997	1.833650	2.701350	0.422084
输出	3.734026	3.095325	4.065722	0.589970
正交	3.909715	3.047434	4.042344	0.587424
布尔	1.981153	5.413471	5.412979	0.717350
函数	4.509001	2.586824	3.631172	0.540736
构造	3.769341	3.256142	4.219889	0.606468
计数	1.501894	6.017579	5.591156	0.731460
利用	5.299558	1.717008	2.537892	0.399440
二叉树	0.481376	7.114566	5.524874	0.726281
方法	6.039565	1.372418	1.995075	0.320777
任意	2.835900	3.996804	4.686922	0.653368
正整数	0.833543	6.304652	5.437189	0.719303
n	2.695366	4.521990	5.029189	0.684854
,	6.423144	1.408837	2.090245	0.334933
m	2.438774	4.659417	5.068729	0.688337
≥	0.748286	6.422232	5.438667	0.719421
给定	2.065759	4.724770	5.027780	0.684729
GF	1.283168	5.937739	5.472859	0.722159
平衡	2.953946	4.007533	4.715098	0.656051
f1	0.344300	7.402045	5.476341	0.722437
x	1.155639	6.304652	5.599895	0.732136
时	4.661245	2.253206	3.246395	0.493794
取值	1.297427	5.670287	5.340714	0.711453
情况	4.301910	2.550609	3.567168	0.533144
划分	3.004069	3.857945	4.610386	0.645997
成	2.360033	4.417836	4.893809	0.672687
若干个	1.154169	5.795044	5.347471	0.712008
相交	1.202951	6.104387	5.523412	0.726166
集合	2.585174	4.451336	4.961536	0.678820
递归	1.892780	5.104935	5.215095	0.700959
出	4.019678	2.786043	3.792270	0.559459
f2	0.276272	7.402045	5.366764	0.713590
…	0.506379	6.891626	5.454970	0.720730
fm	0.147243	7.807307	5.212804	0.700764
线性组合	0.634894	6.709508	5.487575	0.723331
这种	3.470124	3.370247	4.280979	0.612865
个数	2.284381	4.598146	4.996789	0.681976
分组	3.451936	3.673726	4.533884	0.638506
公平	2.650582	4.521990	5.020867	0.684116
调度	3.785383	3.469093	4.409489	0.626063
数据流	2.545327	4.486025	4.976949	0.680203
均匀	2.844243	4.134166	4.788862	0.662998
地分	0.414136	7.114566	5.449958	0.720328
发给	0.504284	6.891626	5.452906	0.720564
多个	3.442722	3.364746	4.272237	0.611954
阻塞	2.460435	4.598146	5.033664	0.685249
抑制	3.181211	3.769784	4.570095	0.642067
能力	3.778178	3.099432	4.075409	0.591022
公平性	2.723222	4.237924	4.841058	0.667845
方面	3.744460	3.028199	4.002483	0.583056
PGPS	0.158878	7.807307	5.250630	0.703959
packet	0.295941	7.807307	5.560238	0.729055
generalize	0.158878	7.807307	5.250630	0.703959
processor	0.158878	7.807307	5.250630	0.703959
PRPS	0.298340	7.402045	5.405013	0.716704
by	0.285125	7.402045	5.382462	0.714872
rate	0.452989	7.114566	5.494607	0.723889
proportional	0.158878	7.807307	5.250630	0.703959
server	0.285461	7.402045	5.383048	0.714919
相似	2.888798	4.086176	4.761836	0.660466
保证	3.974715	2.855512	3.859044	0.567057
每流	0.411909	7.114566	5.447274	0.720113
带宽	3.543022	3.506624	4.408697	0.625983
基础	4.418800	2.410005	3.415242	0.514777
之上	1.171352	5.795044	5.354825	0.712612
确保	2.175531	4.598146	4.972545	0.679808
最大	3.922749	2.955103	3.953373	0.577628
最小	4.040948	2.864987	3.876864	0.569068
缓冲区	1.365324	6.017579	5.543671	0.727758
需求	3.829560	3.016852	4.002456	0.583053
多腔	0.279213	7.807307	5.531260	0.726784
FP	0.781074	6.709508	5.590773	0.731430
滤波器	3.305685	3.924869	4.708877	0.655460
实现	5.441978	1.677734	2.486289	0.392187
Butterworth	0.227335	7.807307	5.428912	0.718636
滤波	2.974418	4.146545	4.819950	0.665892
数学模型	2.549593	4.385448	4.910240	0.674184
功率	4.305231	2.930857	3.974762	0.579998
特沃思	0.232129	7.807307	5.439301	0.719472
型	2.972614	4.121944	4.801943	0.664218
性质	3.002792	3.975697	4.699513	0.654569
fabary	0.152593	7.807307	5.230555	0.702267
perot	0.152593	7.807307	5.230555	0.702267
设计	5.162776	1.968391	2.908489	0.450038
一腔	0.152593	7.807307	5.230555	0.702267
二腔	0.152593	7.807307	5.230555	0.702267
三腔	0.152593	7.807307	5.230555	0.702267
具有	5.070955	1.882904	2.774614	0.432067
这是	0.842316	6.304652	5.442402	0.719721
临界状态	0.274365	7.402045	5.363317	0.713308
腔	0.610599	6.891626	5.548166	0.728111
有所增加	0.152593	7.807307	5.230555	0.702267
得到	4.578248	2.306072	3.304696	0.501107
大幅度	1.021394	6.017579	5.399170	0.716230
构建	3.938274	2.903925	3.903929	0.572111
镜面	0.152593	7.807307	5.230555	0.702267
之间	4.146121	2.716254	3.733058	0.552642
数学	2.260095	4.618147	5.004415	0.682655
关系	4.153829	2.821609	3.845543	0.565528
预见	0.274876	7.402045	5.364244	0.713384
更	4.113073	2.721638	3.734951	0.552861
资源	4.195400	2.884244	3.914926	0.573342
占用	2.097173	4.770886	5.064230	0.687942
LSPs	0.232872	7.807307	5.440893	0.719600
流量	3.358576	3.830634	4.644510	0.649299
分配	4.454092	2.757460	3.812189	0.561735
标签	2.601695	4.559328	5.036127	0.685467
交换	3.302903	3.905268	4.693576	0.654003
路径	3.745347	3.337714	4.289917	0.613794
LSP	1.176143	6.199494	5.558386	0.728910
label	0.158235	7.807307	5.248612	0.703789
switch	0.158235	7.807307	5.248612	0.703789
paths	0.158235	7.807307	5.248612	0.703789
跳数	1.505224	5.508376	5.328145	0.710416
时延	4.205959	2.861817	3.893212	0.570908
避免	3.216616	3.565882	4.410621	0.626178
传统	4.413618	2.438640	3.448963	0.518896
最短	1.604712	5.369221	5.283608	0.706720
路由	4.159069	3.194778	4.212124	0.605649
引起	2.519960	4.265693	4.822019	0.666083
拥塞	2.501668	4.702499	5.108822	0.691837
约	2.665924	4.224331	4.820950	0.665984
15	1.221141	5.730708	5.342207	0.711575
次	2.821048	4.159083	4.802680	0.664286
迭代	3.672575	3.270901	4.220444	0.606526
收敛	3.360993	3.545713	4.415498	0.626672
预定	0.878799	6.199494	5.413271	0.717373
阈值	2.633458	4.251709	4.834098	0.667202
协议	4.570171	2.746281	3.812851	0.561811
网络资源	2.387979	4.578544	5.006087	0.682804
增强	3.436508	3.433003	4.330779	0.618021
层	3.181912	3.778243	4.576859	0.642729
运动	3.173582	3.965314	4.719149	0.656436
补偿	2.849876	4.323731	4.923296	0.675369
FGST	0.274870	7.807307	5.523451	0.726169
视频	3.216510	4.063046	4.798226	0.663871
编码方案	1.675816	5.508376	5.381571	0.714799
结构	4.527890	2.559520	3.602229	0.537314
单环	0.427306	7.402045	5.583906	0.730897
MC	1.435545	5.937739	5.528736	0.726586
+	2.199368	4.844389	5.133462	0.693972
FGS	0.320317	7.807307	5.599665	0.732118
fine	0.150666	7.807307	5.224234	0.701733
granularity	0.150666	7.807307	5.224234	0.701733
scalability	0.150666	7.807307	5.224234	0.701733
based	0.922697	6.304652	5.487781	0.723347
on	0.741446	6.422232	5.434095	0.719054
motion	0.150666	7.807307	5.224234	0.701733
compensation	0.150666	7.807307	5.224234	0.701733
解决	4.390652	2.432834	3.439516	0.517744
原有	1.717559	5.173523	5.206609	0.700238
技术	4.874193	2.259433	3.275837	0.497496
编码	4.309537	2.913930	3.958205	0.578164
效率	4.364110	2.573063	3.599711	0.537015
低	4.266229	2.598461	3.617345	0.539103
流	2.877232	4.294280	4.907683	0.673951
中常	0.299557	7.402045	5.407038	0.716869
需要	3.656521	3.132968	4.091061	0.592717
帧	3.145607	3.975697	4.722536	0.656757
率	3.865521	3.039691	4.029263	0.585995
不同	4.702615	2.253206	3.250641	0.494329
要求	3.543911	3.275873	4.207366	0.605146
本文	3.893756	2.983637	3.978016	0.580358
方案	5.198349	2.137825	3.147450	0.481223
克服	2.685395	4.097953	4.734205	0.657862
temporal	0.150666	7.807307	5.224234	0.701733
缺点	1.821539	5.040801	5.158304	0.696112
获得	4.095143	2.737990	3.750363	0.554642
时域	2.600173	4.417836	4.941906	0.677052
精细	0.932848	6.199494	5.442983	0.719768
分级	2.049533	5.040801	5.216939	0.701115
由群	0.274190	7.807307	5.522218	0.726072
签名	3.119751	4.354101	4.989067	0.681287
撤销	1.269688	6.104387	5.550303	0.728278
匿名性	1.473900	5.508376	5.317682	0.709552
电子	2.068357	5.326864	5.386255	0.715181
现金	1.113976	6.555560	5.698266	0.739652
群	2.955525	4.121944	4.799084	0.663951
加上	0.290680	7.402045	5.392065	0.715653
一次性	0.912103	6.199494	5.431787	0.718868
标记	2.160744	4.923826	5.173167	0.697387
中群	0.162367	7.807307	5.261432	0.704866
管理者	0.307911	7.402045	5.420731	0.717976
银行	0.681974	6.709508	5.523196	0.726149
仅	2.557529	4.197703	4.781552	0.662314
负责	0.988774	6.199494	5.471970	0.722088
成员	1.401257	5.670287	5.379027	0.714592
消费者	0.892891	6.422232	5.526639	0.726420
发行	0.514824	6.891626	5.463205	0.721389
证书	1.852368	5.459788	5.404967	0.716701
（	5.300458	1.824720	2.707228	0.422889
）	5.299338	1.827388	2.711220	0.423435
可信	2.124948	4.896629	5.148341	0.695255
第三方	1.133246	5.937739	5.411006	0.717190
采用	5.134717	1.850008	2.730958	0.426131
Ateniese	0.162367	7.807307	5.261432	0.704866
满足	3.969233	2.830727	3.832775	0.564079
多方面	0.504705	6.891626	5.453321	0.720598
安全	4.088902	3.071065	4.087141	0.592293
高	4.457020	2.402532	3.410396	0.514183
泊松	0.695962	6.891626	5.613346	0.733175
分布	4.018697	2.969257	3.979290	0.580499
报文	2.035924	5.286245	5.355532	0.712670
抽样	1.320738	6.017579	5.527136	0.726460
衡量	2.043428	4.794782	5.066225	0.688117
事件	2.468604	4.638565	5.061398	0.687693
触发	2.098295	5.072347	5.247249	0.703674
测量	3.424177	3.681371	4.536060	0.638721
过程	4.472968	2.444486	3.462388	0.520529
长度	2.933744	3.975697	4.687988	0.653470
总	3.005501	3.839651	4.596505	0.644647
量	3.017177	3.839651	4.598424	0.644834
种泊松	0.153101	7.807307	5.232207	0.702406
优于	3.594204	3.145867	4.094731	0.593113
测量误差	0.808285	6.555560	5.538461	0.727350
/	4.158504	2.987267	4.013883	0.584309
～	1.641531	5.369221	5.294893	0.707661
复杂度	4.228140	2.751853	3.780774	0.558141
仅为	0.814484	6.304652	5.425675	0.718375
O	1.840664	5.286245	5.305365	0.708531
适合	2.486812	4.323731	4.855672	0.669192
将来	0.870024	6.422232	5.513719	0.725402
高速	2.616366	4.468526	4.978974	0.680384
精确测量	0.153101	7.807307	5.232207	0.702406
环境	4.243454	2.743509	3.773638	0.557322
改进	4.621834	2.470300	3.508804	0.526146
智能卡	0.903649	6.555560	5.594011	0.731681
身份	2.936905	4.279882	4.907870	0.673968
鉴别	1.422333	5.795044	5.451458	0.720448
方案设计	1.360017	6.017579	5.541731	0.727606
远程	0.629423	6.709508	5.483265	0.722988
认证	3.142381	4.171786	4.865263	0.670074
随机数	1.322612	5.730708	5.381931	0.714828
戳	0.715997	6.555560	5.478087	0.722576
请求	2.949060	3.944879	4.667439	0.651503
信息	5.025467	2.099823	3.079873	0.472522
随机性	1.303632	5.670287	5.343089	0.711648
有效性	3.909407	2.864987	3.860663	0.567240
防止	1.790960	5.104935	5.187600	0.698620
密码	2.383912	4.819273	5.158010	0.696087
猜测	0.602548	6.891626	5.541555	0.727593
攻击	3.700675	3.398252	4.337200	0.618682
重	2.394878	4.638565	5.046335	0.686368
放	0.976976	6.199494	5.465994	0.721611
内部	2.413272	4.417836	4.904880	0.673696
可靠	2.684939	4.237924	4.834036	0.667196
用户	5.035493	2.248566	3.277583	0.497715
运算量	1.658900	5.247226	5.231536	0.702350
存储量	0.665781	6.555560	5.441884	0.719680
很小	1.280319	5.670287	5.334110	0.710909
以前	0.701380	6.555560	5.467818	0.721757
相同	3.262806	3.525966	4.384307	0.623504
通信	4.779214	2.336417	3.363230	0.508377
成本	2.950196	4.051685	4.747050	0.659074
密钥	3.291420	3.996804	4.760740	0.660363
泄露	1.670442	5.209689	5.213562	0.700829
以后	0.823460	6.422232	5.486329	0.723232
个人	1.057334	6.199494	5.505352	0.724740
安全性	3.507282	3.433003	4.340838	0.619056
TCP	2.432125	4.951795	5.248900	0.703813
控制算法	2.651578	4.451336	4.974129	0.679950
〖	1.701078	5.730708	5.507214	0.724888
JZ	0.239204	7.807307	5.454249	0.720672
〗	1.701078	5.730708	5.507214	0.724888
稳态	1.770239	5.286245	5.285957	0.706916
能够	4.260911	2.559520	3.572683	0.533802
估计	4.385174	2.843033	3.894297	0.571030
判断	2.692942	4.197703	4.807134	0.664701
链路	3.979987	3.163353	4.161248	0.600252
丢失	2.430742	4.451336	4.930956	0.676063
原因	2.010835	4.896629	5.120904	0.692885
采取相应	0.583436	6.709508	5.445491	0.719970
控制	4.419252	2.724342	3.772919	0.557239
机制	4.615473	2.517996	3.563836	0.532747
—	4.104798	3.236823	4.244305	0.609034
LD	0.422094	7.402045	5.577793	0.730422
lose	0.154694	7.807307	5.237354	0.702841
detection	0.266974	7.402045	5.349728	0.712194
Padhye	0.388511	7.114566	5.418162	0.717769
建模	3.966816	3.039691	4.041968	0.587383
推导	3.665009	3.137247	4.096228	0.593275
理论	4.766997	2.194877	3.181640	0.485590
说明	2.665528	4.134166	4.756689	0.659982
地区	0.829212	6.422232	5.489794	0.723507
分出	0.154694	7.807307	5.237354	0.702841
发生	2.589647	4.279882	4.845432	0.668249
差错	1.879403	5.326864	5.338580	0.711277
具备	2.121644	4.659417	4.999530	0.682220
Adhoc	1.660285	5.863834	5.563747	0.729328
自愈	0.859156	6.891626	5.718309	0.741161
AODV	0.607450	7.114566	5.640747	0.735279
Ad	2.280853	4.819273	5.136042	0.694195
hoc	2.004808	5.104935	5.243692	0.703375
demand	0.280976	7.402045	5.375167	0.714277
distance	0.494567	6.891626	5.443220	0.719787
vector	0.673318	6.555560	5.447488	0.720130
SHAODV	0.152593	7.807307	5.230555	0.702267
旨在	1.420401	5.459788	5.272842	0.705821
节点	4.954463	2.382320	3.437057	0.517444
中断	2.920963	4.146545	4.810956	0.665056
抵抗力	0.152593	7.807307	5.230555	0.702267
接纳	1.837677	5.508376	5.427464	0.718519
CAC	0.866250	6.555560	5.572956	0.730046
保障	2.392874	4.486025	4.946284	0.677447
长寿命	0.152593	7.807307	5.230555	0.702267
监测	2.465986	4.659417	5.074242	0.688820
接收	3.749534	3.190223	4.156868	0.599785
信噪比	3.661682	3.236823	4.188031	0.603100
稳定	2.853049	3.996804	4.689909	0.653654
程度	3.176106	3.629106	4.456458	0.630800
断开	0.593622	6.891626	5.534122	0.727009
之前	1.308042	5.613331	5.314630	0.709299
修复	1.847964	5.613331	5.486626	0.723255
开销	3.487429	3.444879	4.348263	0.619819
抗	2.466121	4.486025	4.961253	0.678795
性	3.602844	3.343058	4.275522	0.612297
优点	2.665949	4.097953	4.730603	0.657521
盲	2.983801	4.294280	4.925734	0.675590
参数估计	1.994518	5.173523	5.280964	0.706500
复	1.411326	5.863834	5.482842	0.722954
高斯	3.006568	3.944879	4.677005	0.652420
信号	4.735316	2.476371	3.527718	0.528422
确定性	1.722336	5.326864	5.295158	0.707683
复信	0.322165	7.807307	5.602530	0.732340
道	1.325651	6.017579	5.528985	0.726605
FIM	0.283231	7.807307	5.538374	0.727343
fisher	0.151609	7.807307	5.227339	0.701995
information	0.392960	7.114566	5.423829	0.718226
matrix	0.151609	7.807307	5.227339	0.701995
CRB	0.322165	7.807307	5.602530	0.732340
cramer	0.151609	7.807307	5.227339	0.701995
rao	0.151609	7.807307	5.227339	0.701995
bound	0.275353	7.402045	5.365107	0.713454
噪声	3.895171	3.199356	4.184071	0.602680
方差	1.850022	5.104935	5.203733	0.699994
未知	2.083068	4.819273	5.090961	0.690282
奇异	1.853786	5.138634	5.224375	0.701744
论文	1.311211	5.795044	5.410962	0.717186
约束条件	2.225339	4.598146	4.983786	0.680815
曲线	2.632891	4.385448	4.926197	0.675632
人手	0.430294	7.402045	5.587378	0.731167
灵巧	0.352450	7.807307	5.647291	0.735780
手指尖	0.304692	7.807307	5.574753	0.730186
映射	3.303367	3.761399	4.582130	0.643244
手	0.592179	7.114566	5.628062	0.734307
运动学	1.821710	5.508376	5.423120	0.718169
异构	2.875182	4.251709	4.877665	0.671211
现象	2.220701	4.638565	5.008828	0.683047
造成	2.864947	3.886058	4.608477	0.645811
二者之间	0.278021	7.402045	5.369905	0.713847
困难	2.023974	4.794782	5.061473	0.687700
抓持	0.141990	7.807307	5.194741	0.699229
规划	3.058745	4.018383	4.740415	0.658448
主从	0.716098	6.709508	5.547512	0.728059
操作	2.758400	4.146545	4.782561	0.662409
虚拟	2.936054	4.237924	4.878392	0.671278
手指	0.216570	7.807307	5.404764	0.716684
直角	0.141990	7.807307	5.194741	0.699229
空间	4.252007	2.797740	3.832035	0.563995
指尖	0.303244	7.807307	5.572380	0.730001
数据	5.071957	2.080867	3.058322	0.469727
手套	0.324744	7.402045	5.447228	0.720109
人机接口	0.141990	7.807307	5.194741	0.699229
关节	1.624928	5.559466	5.393793	0.715794
计算	5.008455	2.049067	3.008352	0.463211
轨迹	2.756196	4.521990	5.040275	0.685833
完成	3.248027	3.532502	4.387552	0.623835
抓取	0.430929	7.114566	5.469748	0.721911
记录	1.639264	5.286245	5.247721	0.703714
直角坐标	0.259196	7.402045	5.335014	0.710983
三维	2.764347	4.338798	4.918531	0.674937
可视化	1.397416	5.508376	5.291170	0.707351
虚拟环境	0.776647	6.555560	5.518575	0.725785
验证	4.589337	2.268866	3.258897	0.495368
证明	4.288283	2.552828	3.568162	0.533263
ParlayAPIs	0.274190	7.807307	5.522218	0.726072
SIP	1.521529	6.104387	5.640439	0.735256
间	3.999444	2.920662	3.928380	0.574846
呼叫	2.676227	4.638565	5.101525	0.691202
相关	4.047644	2.983637	3.997037	0.582457
概念	3.342103	3.559111	4.423892	0.627520
Parlay	1.285363	6.199494	5.602619	0.732347
APIs	0.261200	7.807307	5.498050	0.724162
parlay	0.265783	7.402045	5.347504	0.712011
application	0.294660	7.402045	5.398835	0.716203
programming	0.261929	7.402045	5.340234	0.711413
interface	0.294660	7.402045	5.398835	0.716203
session	0.139104	7.807307	5.184533	0.698358
mitiation	0.139104	7.807307	5.184533	0.698358
protocol	0.981240	6.104387	5.421982	0.718077
比较	4.009400	2.830727	3.837701	0.564639
得出	2.905425	3.876595	4.608181	0.645783
SCF	0.410966	7.402045	5.564486	0.729386
service	1.035995	6.104387	5.449014	0.720252
capability	0.139104	7.807307	5.184533	0.698358
feature	0.253052	7.402045	5.323079	0.709998
Call	0.212322	7.807307	5.394905	0.715884
Leg	0.139104	7.807307	5.184533	0.698358
Dialog	0.139104	7.807307	5.184533	0.698358
Server	0.434692	7.402045	5.592443	0.731559
Proxy	0.139104	7.807307	5.184533	0.698358
B2BUA	0.139104	7.807307	5.184533	0.698358
backtoback	0.139104	7.807307	5.184533	0.698358
user	0.139104	7.807307	5.184533	0.698358
agent	0.646201	6.891626	5.576392	0.730313
模式	3.594520	3.481437	4.394463	0.624538
消息	3.045567	4.074542	4.779554	0.662127
提供	4.045026	2.777370	3.786200	0.558763
实际	3.737120	3.075064	4.046768	0.587907
工程	2.394285	4.578544	5.007396	0.682920
NGN	1.432210	6.104387	5.610299	0.732940
next	0.139104	7.807307	5.184533	0.698358
generation	0.139104	7.807307	5.184533	0.698358
of	0.658551	6.555560	5.436448	0.719243
network	0.768478	6.422232	5.451923	0.720486
网关	1.901618	5.247226	5.299458	0.708040
部分	3.307403	3.572702	4.430034	0.628141
指导作用	0.303868	7.402045	5.414152	0.717444
分布式	3.737427	3.321864	4.274790	0.612220
MPLS	1.701344	5.730708	5.507292	0.724894
网络流量	2.239604	4.980580	5.225183	0.701813
全网	1.342967	5.670287	5.357882	0.712863
内在	1.286998	5.670287	5.336698	0.711122
层次性	0.618806	6.709508	5.474795	0.722314
实时性	1.997026	4.896629	5.117480	0.692588
强	2.748829	4.146545	4.780838	0.662248
速度	3.443871	3.438923	4.336936	0.618655
快	2.439547	4.369649	4.877598	0.671205
稳定性	2.944640	3.986192	4.697661	0.654393
运算	3.291260	3.681371	4.516478	0.636785
特点	3.806488	2.969257	3.952679	0.577551
禁忌	0.845306	6.555560	5.560766	0.729096
搜索	3.493945	3.545713	4.434663	0.628607
非线性	3.472502	3.621869	4.494640	0.634616
分析表明	2.403141	4.369649	4.870138	0.670521
全面	1.776835	5.040801	5.145952	0.695049
骨干网	1.449977	6.017579	5.573633	0.730099
.	6.740601	1.041191	1.368764	0.224251
矢量	2.728951	4.354101	4.922620	0.675307
广播	2.602872	4.638565	5.087714	0.689998
CDMA	3.346274	3.915019	4.707453	0.655325
TDMA	0.915108	6.709508	5.669675	0.737486
信道容量	2.462175	4.747558	5.129351	0.693616
time	0.616554	6.709508	5.472979	0.722169
division	0.644221	6.709508	5.494836	0.723907
multiple	0.548398	6.891626	5.494661	0.723893
access	0.643606	6.709508	5.494361	0.723870
code	0.682403	6.555560	5.454161	0.720665
速率	3.802381	3.236823	4.206600	0.605066
容量	3.548321	3.525966	4.425738	0.627707
sumrate	0.138574	7.807307	5.182633	0.698196
capacity	0.138574	7.807307	5.182633	0.698196
每一	0.419103	7.114566	5.455893	0.720804
时刻	1.994502	4.896629	5.116851	0.692534
基站	3.292191	3.744847	4.567358	0.641799
只能	1.072947	5.937739	5.383791	0.714980
发送	3.318369	3.614687	4.466308	0.631787
标量	0.631300	6.709508	5.484748	0.723106
达到	3.745274	3.039691	4.013746	0.584294
带有	1.871848	5.072347	5.190459	0.698864
多根	0.256341	7.402045	5.329504	0.710529
天线	3.966691	3.306279	4.290233	0.613827
最优	4.245689	2.692429	3.718845	0.550994
详细	2.395209	4.434442	4.912323	0.674373
上界	1.463839	5.508376	5.314273	0.709269
下界	1.812142	5.138634	5.213077	0.700787
个界	0.138574	7.807307	5.182633	0.698196
min	0.633387	6.555560	5.417054	0.717679
M	2.359345	4.770886	5.122766	0.693046
K	2.601112	4.468526	4.976071	0.680124
倍	1.998356	4.870163	5.101650	0.691213
发射	2.456506	4.486025	4.959313	0.678620
数目	2.573464	4.279882	4.842322	0.667962
CAMEL	0.381746	7.402045	5.527752	0.726508
短消息	0.866627	6.891626	5.722624	0.741485
功能	3.430424	3.525966	4.409046	0.626018
阐述	2.371766	4.451336	4.918765	0.674958
控制点	0.867463	6.304652	5.457047	0.720896
SCP	0.781869	6.709508	5.591280	0.731469
增强型	1.581476	5.559466	5.380303	0.714696
逻辑	2.700968	4.294280	4.876311	0.671087
客户	1.841322	5.326864	5.328394	0.710437
化	2.696605	4.251709	4.845852	0.668287
总体方案	0.142619	7.807307	5.196940	0.699416
状态	4.133981	2.861817	3.884758	0.569957
SMS	0.142619	7.807307	5.196940	0.699416
SCSM	0.142619	7.807307	5.196940	0.699416
自动机	1.262203	5.937739	5.464657	0.721505
新增	0.886605	6.199494	5.417672	0.717729
无关	1.861241	5.138634	5.226371	0.701913
构成	2.545100	4.251709	4.817171	0.665634
块	2.871775	4.134166	4.793639	0.663444
SIB	0.142619	7.807307	5.196940	0.699416
现网	1.028330	6.199494	5.491502	0.723643
点对点	1.323618	5.730708	5.382310	0.714859
SMPP	0.142619	7.807307	5.196940	0.699416
存在	4.147189	2.697668	3.713083	0.550325
一定	3.453041	3.316640	4.231127	0.607650
缺陷	2.679886	4.323731	4.892772	0.672592
欧洲	0.311914	7.402045	5.427159	0.718495
电信	2.526745	4.659417	5.086336	0.689878
标准化	1.294003	5.937739	5.477046	0.722493
委员会	0.999807	6.104387	5.431314	0.718830
ETSI	0.423693	7.114566	5.461316	0.721238
CAMEL3	0.142619	7.807307	5.196940	0.699416
CAMEL4	0.142619	7.807307	5.196940	0.699416
有助于	1.504452	5.369221	5.251516	0.704033
